                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                  1.204,                0.95483,                  1.317,                0.93006,                0.41026,                0.46377,                0.27329,                 1.3825,                0.93688,                0.90554,             0.00045915,             0.00045915,             0.00045915
                    138,                 1.2908,                 1.4119,                 1.1357,                0.94485,                0.41026,                0.46922,                0.26802,                  1.459,                0.88942,                 0.9224,              0.0004564,              0.0004564,              0.0004564
                    139,                 1.2318,                 1.0854,                 1.1212,                0.94485,                0.41026,                0.46922,                0.26802,                  1.459,                0.88942,                 0.9224,             0.00045365,             0.00045365,             0.00045365
                    140,                 1.2443,                 1.0419,                  1.191,                0.93956,                0.43863,                0.48765,                0.28039,                 1.4947,                0.85873,                0.95034,              0.0004509,              0.0004509,              0.0004509
                    141,                0.82463,                0.87842,                0.93528,                0.93956,                0.43863,                0.48765,                0.28039,                 1.4947,                0.85873,                0.95034,             0.00044815,             0.00044815,             0.00044815
                    142,                 1.0147,                0.74478,                0.97339,                0.94506,                0.44674,                0.49884,                0.30683,                 1.4076,                0.84424,                0.93908,             0.00044541,             0.00044541,             0.00044541
                    143,                0.96459,                0.80848,                 1.0804,                0.94506,                0.44674,                0.49884,                0.30683,                 1.4076,                0.84424,                0.93908,             0.00044266,             0.00044266,             0.00044266
                    144,                0.99884,                0.90859,                 1.1642,                0.93506,                0.44872,                0.49515,                0.31427,                  1.315,                0.84428,                0.91548,             0.00043991,             0.00043991,             0.00043991
                    145,                0.96269,                0.73222,                0.96804,                0.93506,                0.44872,                0.49515,                0.31427,                  1.315,                0.84428,                0.91548,             0.00043716,             0.00043716,             0.00043716
                    146,                 0.9588,                0.78954,                0.96838,                0.68254,                0.42584,                0.49272,                0.32236,                 1.2925,                0.86228,                0.90344,             0.00043441,             0.00043441,             0.00043441
                    147,                 1.0555,                0.85416,                 1.1602,                0.68254,                0.42584,                0.49272,                0.32236,                 1.2925,                0.86228,                0.90344,             0.00043166,             0.00043166,             0.00043166
                    148,                 1.1063,                 1.0754,                  1.188,                0.68202,                0.42372,                 0.4773,                0.29745,                 1.3592,                0.87883,                0.91368,             0.00042891,             0.00042891,             0.00042891
                    149,                0.91969,                0.82439,                0.97444,                0.68202,                0.42372,                 0.4773,                0.29745,                 1.3592,                0.87883,                0.91368,             0.00042616,             0.00042616,             0.00042616
                    150,                0.91977,                0.68782,                0.95504,                0.67736,                0.41667,                0.48143,                0.29728,                  1.368,                0.87901,                0.90836,             0.00042341,             0.00042341,             0.00042341
